OEM,Brand,Model family,Model,Vehicle classification,SKU,Type,Trim,Number of electric drive motors,ADAS,L2+ Capable,Digital cockpit OS,Australia,India,South East Asia,Japan,Rest of Asia Pacific,South Korea,People's Republic of China (mainland),Rest of Greater China,Rest of Central & Eastern Europe,Rest of Middle East,France,Germany,UK,Rest of Latin America,Canada,United States
Geely,Lynk & Co,03,03,Car,03 ICE Base 0,ICE,Base 0,Not applicable,L0,No,LynkOS,0.2280701754385965,0.2189349112426035,0.2121212121212121,0.2232142857142857,0.1881918819188192,0.1823529411764706,0.2280701754385965,0.2189349112426035,,0.2232142857142857,,0.1823529411764706,0.2280701754385965,0.2189349112426035,0.2121212121212121,0.2232142857142857
Geely,Lynk & Co,03,03,Car,03 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1842105263157895,0.1893491124260355,0.1931818181818182,0.1785714285714286,0.1697416974169742,0.1529411764705882,0.1842105263157895,0.1893491124260355,,0.1785714285714286,,0.1529411764705882,0.1842105263157895,0.1893491124260355,0.1931818181818182,0.1785714285714286
Geely,Lynk & Co,03,03,Car,03 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.01754385964912281,0.01183431952662722,0.007575757575757576,0.04464285714285715,0.1254612546125461,0.1941176470588235,0.01754385964912281,0.01183431952662722,,0.04464285714285715,,0.1941176470588235,0.01754385964912281,0.01183431952662722,0.007575757575757576,0.04464285714285715
Geely,Lynk & Co,03,03 EM-F,Car,03 EM-F ICE Base 1,ICE,Base 1,Not applicable,L0,No,LynkOS,0.1842105263157895,0.1893491124260355,0.1931818181818182,0.1785714285714286,0.1697416974169742,0.1529411764705882,0.1842105263157895,0.1893491124260355,,0.1785714285714286,,0.1529411764705882,0.1842105263157895,0.1893491124260355,0.1931818181818182,0.1785714285714286
Geely,Lynk & Co,03,03 EM-F,Car,03 EM-F ICE Mid 1,ICE,Mid 1,Not applicable,L2,No,LynkOS,0.1578947368421053,0.1715976331360947,0.1818181818181818,0.1517857142857143,0.1586715867158672,0.1352941176470588,0.1578947368421053,0.1715976331360947,,0.1517857142857143,,0.1352941176470588,0.1578947368421053,0.1715976331360947,0.1818181818181818,0.1517857142857143
Geely,Lynk & Co,03,03+,Car,03+ ICE Top 1,ICE,Top 1,Not applicable,L2,No,LynkOS,0.2280701754385965,0.2189349112426035,0.2121212121212121,0.2232142857142857,0.1881918819188192,0.1823529411764706,0.2280701754385965,0.2189349112426035,,0.2232142857142857,,0.1823529411764706,0.2280701754385965,0.2189349112426035,0.2121212121212121,0.2232142857142857
Geely,Lynk & Co,06,06,SUV/Crossover,06 ICE Base 0,ICE,Base 0,Not applicable,L0,No,LynkOS,0.9,0.9354838709677419,0.9600000000000001,0.7727272727272727,0.5584415584415585,0.4107142857142858,0.9,0.9354838709677419,,0.7727272727272727,,0.4107142857142858,0.9,0.9354838709677419,0.9600000000000001,0.7727272727272727
Geely,Lynk & Co,06,06,SUV/Crossover,06 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1,0.06451612903225805,0.04,0.2272727272727273,0.4415584415584416,0.5892857142857143,0.1,0.06451612903225805,,0.2272727272727273,,0.5892857142857143,0.1,0.06451612903225805,0.04,0.2272727272727273
Geely,Lynk & Co,06,06 PHEV,SUV/Crossover,06 PHEV PHEV Top 0,PHEV,Top 0,1,L2,No,LynkOS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0
Geely,Lynk & Co,09,09,SUV/Crossover,09 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.9,0.9354838709677419,0.9600000000000001,0.7727272727272727,0.5584415584415585,0.4107142857142858,0.9,0.9354838709677419,,0.7727272727272727,,0.4107142857142858,0.9,0.9354838709677419,0.9600000000000001,0.7727272727272727
Geely,Lynk & Co,09,09,SUV/Crossover,09 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1,0.06451612903225805,0.04,0.2272727272727273,0.4415584415584416,0.5892857142857143,0.1,0.06451612903225805,,0.2272727272727273,,0.5892857142857143,0.1,0.06451612903225805,0.04,0.2272727272727273
Geely,Lynk & Co,09,09 EM-P Performance,SUV/Crossover,09 EM-P Performance PHEV Mid 0,PHEV,Mid 0,1,L2,No,LynkOS,0.05,0.03225806451612902,0.02,0.1136363636363637,0.2207792207792208,0.2946428571428572,0.05,0.03225806451612902,,0.1136363636363637,,0.2946428571428572,0.05,0.03225806451612902,0.02,0.1136363636363637
Geely,Lynk & Co,09,09 EM-P Long range,SUV/Crossover,09 EM-P Long range PHEV Mid 1,PHEV,Mid 1,3,L2,Yes,LynkOS,0.45,0.4677419354838709,0.48,0.3863636363636364,0.2792207792207792,0.2053571428571429,0.45,0.4677419354838709,,0.3863636363636364,,0.2053571428571429,0.45,0.4677419354838709,0.48,0.3863636363636364
Geely,Lynk & Co,09,09 EM-P Performance,SUV/Crossover,09 EM-P Performance PHEV Top 0,PHEV,Top 0,1,L2,No,LynkOS,0.45,0.4677419354838709,0.48,0.3863636363636364,0.2792207792207792,0.2053571428571429,0.45,0.4677419354838709,,0.3863636363636364,,0.2053571428571429,0.45,0.4677419354838709,0.48,0.3863636363636364
Geely,Lynk & Co,09,09 EM-P Long range,SUV/Crossover,09 EM-P Long range PHEV Top 1,PHEV,Top 1,3,L2,Yes,LynkOS,0.05,0.03225806451612902,0.02,0.1136363636363637,0.2207792207792208,0.2946428571428572,0.05,0.03225806451612902,,0.1136363636363637,,0.2946428571428572,0.05,0.03225806451612902,0.02,0.1136363636363637
Geely,Lynk & Co,02,02,SUV/Crossover,02 ICE Base 0,ICE,Base 0,Not applicable,L0,No,Not recorded,0.3880597014925374,0.37,0.356687898089172,0.373134328358209,0.2931034482758621,0.2743362831858407,0.3880597014925374,0.37,,0.373134328358209,,0.2743362831858407,0.3880597014925374,0.37,0.356687898089172,0.373134328358209
Geely,Lynk & Co,02,02,SUV/Crossover,02 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,Not recorded,0.3134328358208955,0.32,0.3248407643312102,0.2985074626865672,0.264367816091954,0.2300884955752213,0.3134328358208955,0.32,,0.2985074626865672,,0.2300884955752213,0.3134328358208955,0.32,0.3248407643312102,0.2985074626865672
Geely,Lynk & Co,02,02 Hatchback,SUV/Crossover,02 Hatchback ICE Base 1,ICE,Base 1,Not applicable,L0,No,Not recorded,0.2686567164179104,0.29,0.3057324840764331,0.2537313432835821,0.2471264367816092,0.2035398230088496,0.2686567164179104,0.29,,0.2537313432835821,,0.2035398230088496,0.2686567164179104,0.29,0.3057324840764331,0.2537313432835821
Geely,Lynk & Co,02,02 Hatchback,SUV/Crossover,02 Hatchback ICE Mid 1,ICE,Mid 1,Not applicable,L2,No,Not recorded,0.02985074626865672,0.02,0.01273885350318471,0.0746268656716418,0.1954022988505747,0.2920353982300885,0.02985074626865672,0.02,,0.0746268656716418,,0.2920353982300885,0.02985074626865672,0.02,0.01273885350318471,0.0746268656716418
