,level_0,level_1,level_2,level_3,Model Family,BEV,ICE,PHEV
99,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Germany,0,0.05,0.33
100,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,India,0.34,0.05,0.33
101,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Japan,0,0.05,0.33
102,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,People's Republic of China (mainland),0.02,0.02,0
103,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Rest of Asia Pacific,0.02,0.02,0.02
104,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Rest of Central & Eastern Europe,0.02,0.02,0.02
105,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Rest of Greater China,0,0.05,0.33
106,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Rest of Latin America,0.34,0.05,0.33
107,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Rest of Middle East,0.34,0.05,0.33
108,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,South Korea,0.34,0.05,0.33
109,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Southeast Asia,0.02,0.02,0
110,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,UK,0.02,0.02,0.02
111,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,United States,0,0.05,0.33
112,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Australia,0.22,0.22,0.22
113,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Canada,0.22,0.22,0
114,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,France,0.22,0.22,0
115,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Germany,0,0.21,0.16
116,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,India,0.16999999999999998,0.21,0.16
117,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Japan,0,0.21,0.16
118,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,People's Republic of China (mainland),0.22,0.22,0
119,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Rest of Asia Pacific,0.22,0.22,0.22
120,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Rest of Central & Eastern Europe,0.22,0.22,0.22
121,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Rest of Greater China,0,0.21,0.16
122,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Rest of Latin America,0.16999999999999998,0.21,0.16
123,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Rest of Middle East,0.16999999999999998,0.21,0.16
124,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,South Korea,0.16999999999999998,0.21,0.16
125,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,Southeast Asia,0.22,0.22,0
126,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,UK,0.22,0.22,0.22
127,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 8,United States,0,0.21,0.16
128,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Australia,0.27,0.27,0.27
129,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Canada,0.27,0.27,0
130,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,France,0.27,0.27,0
